2024-06-07T13:33:48.622Z info: Connected to DB and listening to port: 8000
2024-06-07T13:34:39.141Z info: /api/product/
2024-06-07T13:35:21.774Z info: /api/product/
2024-06-07T13:37:35.555Z info: Connected to DB and listening to port: 8000
2024-06-07T13:37:38.394Z info: Connected to DB and listening to port: 8000
2024-06-07T13:37:40.202Z info: Connected to DB and listening to port: 8000
2024-06-07T13:37:48.839Z info: Connected to DB and listening to port: 8000
2024-06-07T13:37:59.220Z info: Connected to DB and listening to port: 8000
2024-06-07T13:38:02.098Z info: Connected to DB and listening to port: 8000
2024-06-07T13:38:05.335Z info: Connected to DB and listening to port: 8000
2024-06-07T13:38:06.889Z info: Connected to DB and listening to port: 8000
2024-06-07T13:38:19.963Z info: Connected to DB and listening to port: 8000
2024-06-07T13:38:26.071Z info: Connected to DB and listening to port: 8000
2024-06-07T13:38:27.297Z info: Connected to DB and listening to port: 8000
2024-06-07T13:38:33.778Z info: Connected to DB and listening to port: 8000
2024-06-07T13:38:38.360Z info: Connected to DB and listening to port: 8000
2024-06-07T13:39:13.282Z info: Connected to DB and listening to port: 8000
2024-06-07T13:39:18.900Z info: Connected to DB and listening to port: 8000
2024-06-07T13:39:24.434Z info: Connected to DB and listening to port: 8000
2024-06-07T13:39:30.415Z info: /api/product/
2024-06-07T13:39:30.419Z info: undefined
2024-06-07T13:39:30.425Z info: Authentication success...
2024-06-07T13:40:35.275Z info: Connected to DB and listening to port: 8000
2024-06-07T13:40:40.531Z info: Connected to DB and listening to port: 8000
2024-06-07T13:40:48.056Z info: Connected to DB and listening to port: 8000
2024-06-07T13:40:55.944Z info: /api/product/
2024-06-07T13:40:55.948Z info: seller
2024-06-07T13:40:55.956Z info: Authentication success...
2024-06-07T13:40:55.963Z error: EcomProduct validation failed: SellerId: Path `SellerId` is required.
2024-06-07T13:43:02.815Z info: Connected to DB and listening to port: 8000
2024-06-07T13:43:04.345Z info: Connected to DB and listening to port: 8000
2024-06-07T13:43:08.443Z info: /api/product/
2024-06-07T13:43:25.090Z info: Connected to DB and listening to port: 8000
2024-06-07T13:43:28.004Z info: /api/product/
2024-06-07T13:43:28.035Z info: seller
2024-06-07T13:43:28.069Z info: Authentication success...
2024-06-07T13:43:28.088Z error: EcomProduct validation failed: SellerId: Path `SellerId` is required.
2024-06-07T13:44:47.040Z info: Connected to DB and listening to port: 8000
2024-06-07T13:44:48.211Z info: Connected to DB and listening to port: 8000
2024-06-07T13:44:50.260Z info: Connected to DB and listening to port: 8000
2024-06-07T13:44:57.655Z info: Connected to DB and listening to port: 8000
2024-06-07T13:45:02.135Z info: /api/product/
2024-06-07T13:45:02.139Z info: seller
2024-06-07T13:45:02.152Z info: Authentication success...
2024-06-07T13:45:02.167Z info: Product Created!!!
2024-06-07T13:45:42.525Z info: /api/product/
2024-06-07T13:45:42.528Z info: customer
2024-06-07T13:45:42.529Z info: Authentication success...
2024-06-07T13:45:57.934Z info: /api/product/
2024-06-07T13:45:57.935Z info: Fetching Products
2024-06-07T13:45:57.985Z info: Products: 
2024-06-07T13:46:12.180Z info: /api/product/66630ede488be8a2170ca8dd
2024-06-07T13:46:35.949Z info: Connected to DB and listening to port: 8000
2024-06-07T13:46:37.465Z info: Connected to DB and listening to port: 8000
2024-06-07T13:46:45.115Z info: Connected to DB and listening to port: 8000
2024-06-07T13:46:50.311Z info: Connected to DB and listening to port: 8000
2024-06-07T13:46:54.922Z info: Connected to DB and listening to port: 8000
2024-06-07T13:47:49.481Z info: /api/product/66630ede488be8a2170ca8dd
2024-06-07T13:48:02.843Z info: Connected to DB and listening to port: 8000
2024-06-07T13:48:05.236Z info: /api/product/66630ede488be8a2170ca8dd
2024-06-07T13:48:05.241Z info: seller
2024-06-07T13:48:05.245Z info: Authentication success...
2024-06-07T13:48:05.289Z info: Product Updating
2024-06-07T13:48:11.720Z info: /api/product/66630ede488be8a2170ca8dd
2024-06-07T13:48:30.312Z info: Connected to DB and listening to port: 8000
